"sample","abs","df","runID","TP","projectID","lakeID","site","dateSample","timeSample","depthClass","depthTop","depthBottom","comments","sampleID"
"U188",0.424,1,"TP_run3_20201109.xlsx",67.9036632415295,35,"WL","DeepHole","8/26/2020","11:37","Hypo",8,8,"","WL_DeepHole_20200826_1137_Hypo_8_Limno.Sample.20160505"
"U189",0.176,1,"TP_run3_20201109.xlsx",25.9180295365788,35,"CYB","DeepHole","8/27/2020","10:15","PML",0,0.5,"","CYB_DeepHole_20200827_1015_PML_0.5_Limno.Sample.20160505"
"U19",0.098,1,"TP_run1_20201028.xlsx",15.606142830884,15,"HB","DeepHole","6/10/2020","11:40","PML",0,0.5,"","HB_DeepHole_20200610_1140_PML_0.5_Limno.Sample.20160505"
"U190",0.195,1,"TP_run3_20201109.xlsx",29.1346708284903,35,"CYB","DeepHole","8/27/2020","10:15","Hypo",2,2,"","CYB_DeepHole_20200827_1015_Hypo_2_Limno.Sample.20160505"
"U191",0.146,1,"TP_run3_20201109.xlsx",20.8391222335605,35,"TB","DeepHole","8/27/2020","11:15","PML",0,0.5,"","TB_DeepHole_20200827_1115_PML_0.5_Limno.Sample.20160505"
"U192",0.173,1,"TP_run3_20201109.xlsx",25.410138806277,35,"TB","DeepHole","8/27/2020","11:15","Hypo",3.5,3.5,"","TB_DeepHole_20200827_1115_Hypo_3.5_Limno.Sample.20160505"
"U193",0.106,1,"TP_run3_20201109.xlsx",14.0672458295362,41,"JO","DeepHole","9/1/2020","8:55","PML",0,3,"","JO_DeepHole_20200901_0855_PML_3_Limno.Sample.20160505"
"U194",0.158,1,"TP_run3_20201109.xlsx",22.8706851547678,41,"JO","DeepHole","9/1/2020","8:55","Hypo",4.5,4.5,"","JO_DeepHole_20200901_0855_Hypo_4.5_Limno.Sample.20160505"
"U2",0.086,1,"TP_run2_20201102.xlsx",11.0403762810179,3,"WL","DeepHole","6/4/2020","9:15","PML",0,1,"","WL_DeepHole_20200604_0915_PML_1_Limno.Sample.20160505"
"U20",0.23,1,"TP_run1_20201028.xlsx",37.8509951863841,15,"HB","DeepHole","6/10/2020","11:40","Hypo",4,4,"","HB_DeepHole_20200610_1140_Hypo_4_Limno.Sample.20160505"
"U21",0.119,1,"TP_run2_20201102.xlsx",16.6764620697043,15,"HB","Outlet","6/10/2020","11:40","Surface",0,0,"","HB_Outlet_20200610_1140_Surface_0_Limno.Sample.20160505"
"U22",0.062,1,"TP_run1_20201028.xlsx",9.53936491574757,17,"ME","DeepHole","6/10/2020","9:36","PML",0,1,"","ME_DeepHole_20200610_0936_PML_1_Limno.Sample.20160505"
"U23",0.095,1,"TP_run1_20201028.xlsx",15.1005780046226,17,"ME","DeepHole","6/10/2020","9:36","Hypo",3.5,3.5,"","ME_DeepHole_20200610_0936_Hypo_3.5_Limno.Sample.20160505"
"U24",0.093,1,"TP_run2_20201102.xlsx",12.2359096301332,17,"ME","Outlet","6/10/2020","9:36","Surface",0,0,"","ME_Outlet_20200610_0936_Surface_0_Limno.Sample.20160505"
"U25",0.06,1,"TP_run1_20201028.xlsx",9.20232169823999,15,"CR","DeepHole","6/11/2020","9:30","PML",0,2.5,"","CR_DeepHole_20200611_0930_PML_2.5_Limno.Sample.20160505"
"U26",0.564,1,"TP_run1_20201028.xlsx",94.1372125101496,15,"CR","DeepHole","6/11/2020","9:30","Hypo",8,8,"","CR_DeepHole_20200611_0930_Hypo_8_Limno.Sample.20160505"
"U26",0.656,1,"TP_reruns_20210419.xlsx",110.955123130114,15,"CR","DeepHole","6/11/2020","9:30","Hypo",8,8,"","CR_DeepHole_20200611_0930_Hypo_8_Limno.Sample.20160505"
"U27",0.095,1,"TP_run1_20201028.xlsx",15.1005780046226,15,"CR","Outlet","6/11/2020","9:30","Surface",0,0,"","CR_Outlet_20200611_0930_Surface_0_Limno.Sample.20160505"
"U28",0.098,1,"TP_run1_20201028.xlsx",15.606142830884,15,"MO","DeepHole","6/12/2020","9:25","PML",0,1.5,"","MO_DeepHole_20200612_0925_PML_1.5_Limno.Sample.20160505"
"U29",0.41,1,"TP_run2_20201102.xlsx",66.376491297212,15,"MO","DeepHole","6/12/2020","9:25","Hypo",4.5,4.5,"","MO_DeepHole_20200612_0925_Hypo_4.5_Limno.Sample.20160505"
"U3",0.262,1,"TP_run2_20201102.xlsx",41.0995004873455,3,"WL","DeepHole","6/4/2020","9:15","Hypo",8,8,"","WL_DeepHole_20200604_0915_Hypo_8_Limno.Sample.20160505"
"U30",0.146,1,"TP_run2_20201102.xlsx",21.2878049877205,15,"MO","Inlet1","6/12/2020","9:25","Surface",0,0,"","MO_Inlet1_20200612_0925_Surface_0_Limno.Sample.20160505"
"U31",0.136,1,"TP_run2_20201102.xlsx",19.57990020327,15,"MO","Inlet2","6/12/2020","9:25","Surface",0,0,"","MO_Inlet2_20200612_0925_Surface_0_Limno.Sample.20160505"
"U32",0.258,1,"TP_run2_20201102.xlsx",40.4163385735654,15,"MO","Inlet3","6/12/2020","9:25","Surface",0,0,"","MO_Inlet3_20200612_0925_Surface_0_Limno.Sample.20160505"
"U33",0.185,1,"TP_run2_20201102.xlsx",27.9486336470772,17,"BR","DeepHole","6/15/2020","11:42","PML",0,2,"","BR_DeepHole_20200615_1142_PML_2_Limno.Sample.20160505"
"U34",0.2,1,"TP_run2_20201102.xlsx",30.5104908237528,17,"BR","DeepHole","6/15/2020","11:42","Hypo",3.5,3.5,"","BR_DeepHole_20200615_1142_Hypo_3.5_Limno.Sample.20160505"
"U35",0.059,1,"TP_run2_20201102.xlsx",6.42903336300169,17,"BA","DeepHole","6/15/2020","14:00","PML",0,2.5,"","BA_DeepHole_20200615_1400_PML_2.5_Limno.Sample.20160505"
"U36",0.1,1,"TP_run2_20201102.xlsx",13.4314429792485,17,"BA","DeepHole","6/15/2020","14:00","Hypo",6.5,6.5,"","BA_DeepHole_20200615_1400_Hypo_6.5_Limno.Sample.20160505"
