"pocID","runID","trayLoc","PON.mg","POC.mg","projectID","lakeID","site","dateSample","timeSample","depthClass","depthTop","depthBottom","volFiltered","replicate","comments","sampleID","POC","PON","ID"
"P161","RN_20210203_run2_041","P1F3",0.02008412601397,0.1430221187886,3,"FE","DeepHole","6/16/2020","10:35","Hypo",8,8,100,"1","","FE_DeepHole_20200616_1035_Hypo_8_Limno.Sample.20160505",1430.221,200.841,161
"P106","RN_20210204_run3_019","P1G7",0.01690015535592,0.1029555824385,3,"WL","DeepHole","7/21/2020","9:57","Hypo",8,8,100,"1","","WL_DeepHole_20200721_0957_Hypo_8_Limno.Sample.20160505",1029.556,169.002,106
"P107","RN_20210204_run3_018","P1G6",0.006150544202331,0.03673146280859,3,"FE","DeepHole","7/22/2020","11:45","PML",0,2,120,"1","","FE_DeepHole_20200722_1145_PML_2_Limno.Sample.20160505",306.096,51.255,107
"P109","RN_20210204_run3_016","P1G4",0.004652771740377,0.04663599398695,3,"FE","Inlet1","7/22/2020","11:45","Surface",0,0,120,"1","","FE_Inlet1_20200722_1145_Surface_0_Limno.Sample.20160505",388.633,38.773,109
"P110","RN_20210204_run3_015","P1G3",0.006916920562316,0.04572206281899,15,"CR","DeepHole","7/23/2020","10:30","PML",0,3.5,120,"1","","CR_DeepHole_20200723_1030_PML_3.5_Limno.Sample.20160505",381.017,57.641,110
"P111","RN_20210204_run3_014","P1G2",0.008584605896485,0.06183543496986,15,"CR","DeepHole","7/23/2020","10:30","Hypo",8,8,120,"1","","CR_DeepHole_20200723_1030_Hypo_8_Limno.Sample.20160505",515.295,71.538,111
"P16","RN_20210204_run3_028","P1H3",0.01111324308659,0.06860990041855,3,"FE","Inlet1","6/9/2020","11:48","Surface",0,0,120,"1","","FE_Inlet1_20200609_1148_Surface_0_Limno.Sample.20160505",571.749,92.61,16
"P17","RN_20210204_run3_027","P1H2",0.009198058627043,0.04382198002114,3,"WL","DeepHole","6/9/2020","10:20","PML",0,1,120,"1","","WL_DeepHole_20200609_1020_PML_1_Limno.Sample.20160505",365.183,76.65,17
"P173","RN_20210204_run3_043","P2A5",0.0153776861367,0.05887313308593,3,"WL","DeepHole","8/20/2020","9:10","PML",0,2,120,"1","","WL_DeepHole_20200820_0910_PML_2_Limno.Sample.20160505",490.609,128.147,173
"P174","RN_20210204_run3_042","P2A4",0.02065788555104,0.1145124017947,3,"WL","DeepHole","8/20/2020","9:10","Hypo",8,8,120,"1","","WL_DeepHole_20200820_0910_Hypo_8_Limno.Sample.20160505",954.27,172.149,174
"P175","RN_20210204_run3_041","P2A3",0.01254716788883,0.09077119618267,35,"NH","DeepHole","8/24/2020","10:50","PML",0,2,120,"1","","NH_DeepHole_20200824_1050_PML_2_Limno.Sample.20160505",756.427,104.56,175
"P176","RN_20210204_run3_040","P2A2",0.02814004211878,0.1976592247209,35,"NH","DeepHole","8/24/2020","10:50","Hypo",3,3,120,"1","","NH_DeepHole_20200824_1050_Hypo_3_Limno.Sample.20160505",1647.16,234.5,176
"P177","RN_20210204_run3_039","P2A1",0.01605791006695,0.112335867178,35,"SE","DeepHole","8/24/2020","11:55","PML",0,5,120,"1","","SE_DeepHole_20200824_1155_PML_5_Limno.Sample.20160505",936.132,133.816,177
"P178","RN_20210204_run3_037","P1H12",0.01950641968787,0.1346041060583,35,"SE","DeepHole","8/24/2020","11:55","Hypo",5.5,5.5,120,"1","","SE_DeepHole_20200824_1155_Hypo_5.5_Limno.Sample.20160505",1121.701,162.553,178
"P179","RN_20210204_run3_036","P1H11",0.01298028113607,0.08896703066654,35,"BH","DeepHole","8/25/2020","9:50","PML",0,5,120,"1","","BH_DeepHole_20200825_0950_PML_5_Limno.Sample.20160505",741.392,108.169,179
"P180","RN_20210204_run3_035","P1H10",0.009873171473423,0.06592935139525,35,"BH","DeepHole","8/25/2020","9:50","Hypo",10,10,120,"1","","BH_DeepHole_20200825_0950_Hypo_10_Limno.Sample.20160505",549.411,82.276,180
"P181","RN_20210204_run3_034","P1H9",0.01589715625704,0.07538705793232,35,"HH","DeepHole","8/25/2020","11:10","PML",0,4,120,"1","","HH_DeepHole_20200825_1110_PML_4_Limno.Sample.20160505",628.225,132.476,181
"P182","RN_20210204_run3_033","P1H8",0.03069989780917,0.179827650342,35,"HH","DeepHole","8/25/2020","11:10","Hypo",5.5,5.5,120,"1","","HH_DeepHole_20200825_1110_Hypo_5.5_Limno.Sample.20160505",1498.564,255.832,182
"P19","RN_20210204_run3_024","P1G12",0.01172074651552,0.07220951547467,15,"HB","DeepHole","6/10/2020","11:40","PML",0,0.5,120,"1","","HB_DeepHole_20200610_1140_PML_0.5_Limno.Sample.20160505",601.746,97.673,19
"P191","RN_20210204_run3_032","P1H7",0.02063224835434,0.1183178351968,35,"TB","DeepHole","8/27/2020","11:15","PML",0,0.5,120,"1","","TB_DeepHole_20200827_1115_PML_0.5_Limno.Sample.20160505",985.982,171.935,191
"P192","RN_20210204_run3_031","P1H6",0.01657249399111,0.1165472706411,35,"TB","DeepHole","8/27/2020","11:15","Hypo",3.5,3.5,120,"1","","TB_DeepHole_20200827_1115_Hypo_3.5_Limno.Sample.20160505",971.227,138.104,192
"P194","RN_20210204_run3_029","P1H4",0.01557497397413,0.1350635019788,41,"JO","DeepHole","9/1/2020","8:55","Hypo",4.5,4.5,80,"1","","JO_DeepHole_20200901_0855_Hypo_4.5_Limno.Sample.20160505",1688.294,194.687,194
"P22","RN_20210204_run3_023","P1G11",0.007776768424137,0.04201921039061,17,"ME","DeepHole","6/10/2020","9:36","PML",0,1,120,"1","","ME_DeepHole_20200610_0936_PML_1_Limno.Sample.20160505",350.16,64.806,22
"P23","RN_20210204_run3_022","P1G10",0.01264413537203,0.08800215798315,17,"ME","DeepHole","6/10/2020","9:36","Hypo",3.5,3.5,120,"1","","ME_DeepHole_20200610_0936_Hypo_3.5_Limno.Sample.20160505",733.351,105.368,23
"P24","RN_20210204_run3_021","P1G9",0.01017313076366,0.05210504051969,17,"ME","Outlet","6/10/2020","9:36","Surface",0,0,120,"1","","ME_Outlet_20200610_0936_Surface_0_Limno.Sample.20160505",434.209,84.776,24
"P25","RN_20210204_run3_020","P1G8",0.008748160580364,0.05442984643689,15,"CR","DeepHole","6/11/2020","9:30","PML",0,2.5,120,"1","","CR_DeepHole_20200611_0930_PML_2.5_Limno.Sample.20160505",453.582,72.901,25
"P41","RN_20210204_run3_048","P2A10",0.02035719026473,0.1161438098506,3,"WL","DeepHole","6/16/2020","8:56","Hypo",8,8,120,"1","","WL_DeepHole_20200616_0856_Hypo_8_Limno.Sample.20160505",967.865,169.643,41
"P42","RN_20210204_run3_047","P2A9",0.008661721929934,0.04036613287264,17,"PA","DeepHole","6/17/2020","9:20","PML",0,2,120,"1","","PA_DeepHole_20200617_0920_PML_2_Limno.Sample.20160505",336.384,72.181,42
"P44","RN_20210204_run3_045","P2A7",0.00674968589805,0.04240686776205,17,"PE","DeepHole","6/17/2020","10:38","PML",0,2,120,"1","","PE_DeepHole_20200617_1038_PML_2_Limno.Sample.20160505",353.391,56.247,44
"P45","RN_20210204_run3_044","P2A6",0.01772113853599,0.09585133901755,17,"PE","DeepHole","6/17/2020","10:38","Hypo",9,9,100,"1","","PE_DeepHole_20200617_1038_Hypo_9_Limno.Sample.20160505",958.513,177.211,45
"P146","RN_20210205_run4_037","P2C11",0.005861700674507,0.06789321351945,3,"FE","Inlet1","8/11/2020","10:45","Surface",0,0,120,"1","","FE_Inlet1_20200811_1045_Surface_0_Limno.Sample.20160505",565.777,48.848,146
"P147","RN_20210205_run4_036","P2C10",0.006966463121068,0.02343977543191,3,"WL","DeepHole","8/11/2020","9:48","PML",0,1.5,120,"1","","WL_DeepHole_20200811_0948_PML_1.5_Limno.Sample.20160505",195.331,58.054,147
"P148","RN_20210205_run4_035","P2C9",0.01671148476573,0.08678507108357,3,"WL","DeepHole","8/11/2020","9:48","Hypo",8,8,120,"1","","WL_DeepHole_20200811_0948_Hypo_8_Limno.Sample.20160505",723.209,139.262,148
"P149","RN_20210205_run4_034","P2C8",0.02187402873861,0.1410573386713,17,"BO","DeepHole","8/12/2020","10:55","PML",0,0,100,"1","","BO_DeepHole_20200812_1055_PML_0_Limno.Sample.20160505",1410.573,218.74,149
"P150","RN_20210205_run4_033","P2C7",0.02956511520831,0.1918661529637,17,"BO","DeepHole","8/12/2020","10:55","Hypo",2,2,60,"1","","BO_DeepHole_20200812_1055_Hypo_2_Limno.Sample.20160505",3197.769,492.752,150
"P151","RN_20210205_run4_032","P2C6",0.00942710277753,0.02242211720764,17,"CB","DeepHole","8/12/2020","9:15","PML",0,0.5,120,"1","","CB_DeepHole_20200812_0915_PML_0.5_Limno.Sample.20160505",186.851,78.559,151
"P152","RN_20210205_run4_031","P2C5",0.01475957151265,0.06031266233031,17,"CB","DeepHole","8/12/2020","9:15","Hypo",3,3,120,"1","","CB_DeepHole_20200812_0915_Hypo_3_Limno.Sample.20160505",502.606,122.996,152
"P153","RN_20210205_run4_030","P2C4",0.01451541469468,0.08799113566761,17,"NG","DeepHole","8/14/2020","10:00","PML",0,0,120,"1","","NG_DeepHole_20200814_1000_PML_0_Limno.Sample.20160505",733.259,120.962,153
"P46","RN_20210205_run4_029","P2C3",0.01501110542932,0.08437166452726,15,"MO","DeepHole","6/22/2020","9:05","PML",0,3.5,100,"1","","MO_DeepHole_20200622_0905_PML_3.5_Limno.Sample.20160505",843.717,150.111,46
"P47","RN_20210205_run4_028","P2C2",0.02207184815533,0.1131919128437,15,"MO","DeepHole","6/22/2020","9:05","Hypo",7,7,60,"1","","MO_DeepHole_20200622_0905_Hypo_7_Limno.Sample.20160505",1886.532,367.864,47
"P48","RN_20210205_run4_027","P2C1",0.003785885695431,0.02823807421388,15,"MO","Inlet1","6/22/2020","9:05","Surface",0,0,120,"1","","MO_Inlet1_20200622_0905_Surface_0_Limno.Sample.20160505",235.317,31.549,48
"P49","RN_20210205_run4_025","P2B12",0.01130826294757,0.08873747495146,15,"MO","Inlet2","6/22/2020","9:05","Surface",0,0,100,"1","","MO_Inlet2_20200622_0905_Surface_0_Limno.Sample.20160505",887.375,113.083,49
"P51","RN_20210205_run4_021","P2B8",0.007158393433425,0.0467127636751,3,"FE","DeepHole","6/23/2020","11:25","PML",0,1.5,120,"1","","FE_DeepHole_20200623_1125_PML_1.5_Limno.Sample.20160505",389.273,59.653,51
"P52","RN_20210205_run4_020","P2B7",0.007474225471777,0.06063124463517,3,"FE","DeepHole","6/23/2020","11:25","Hypo",8,8,100,"1","","FE_DeepHole_20200623_1125_Hypo_8_Limno.Sample.20160505",606.312,74.742,52
