"projectID","lakeID","sampleID","dateSample","parameter","parameterValue","QCcode","flag","comments","metadataID","updateID"
3,"FE","FE_Inlet1_20190722_910_Surface_0_Limno.Sample.20160505",2019-07-22,"PON",35,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
3,"FE","FE_Inlet1_20190730_1001_Surface_0_Limno.Sample.20160505",2019-07-30,"PON",82,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
3,"FE","FE_Inlet1_20191006_1040_Surface_0_Limno.Sample.20160505",2019-10-06,"PON",29,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
15,"HB","HB_DeepHole_20190520_1240_Hypo_3_Limno.Sample.20160505",2019-05-20,"PON",140,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
15,"HB","HB_DeepHole_20190520_1240_PML_0.5_Limno.Sample.20160505",2019-05-20,"PON",123,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
33,"HB","HB_DeepHole_20190531_1150_Hypo_3.5_Limno.Sample.20160505",2019-05-31,"PON",143,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
33,"HB","HB_DeepHole_20190531_1150_PML_0.75_Limno.Sample.20160505",2019-05-31,"PON",57,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
15,"HB","HB_DeepHole_20190607_1112_Hypo_4_Limno.Sample.20160505",2019-06-07,"PON",121,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
15,"HB","HB_DeepHole_20190607_1112_PML_0.5_Limno.Sample.20160505",2019-06-07,"PON",100,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
17,"HB","HB_DeepHole_20190621_940_Hypo_4.5_Limno.Sample.20160505",2019-06-21,"PON",164,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
17,"HB","HB_DeepHole_20190621_940_PML_0.5_Limno.Sample.20160505",2019-06-21,"PON",78,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
15,"HB","HB_DeepHole_20190701_840_Hypo_4.5_Limno.Sample.20160505",2019-07-01,"PON",136,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
15,"HB","HB_DeepHole_20190701_840_PML_0.5_Limno.Sample.20160505",2019-07-01,"PON",152,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
17,"HB","HB_DeepHole_20190719_1044_Hypo_4_Limno.Sample.20160505",2019-07-19,"PON",148,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
17,"HB","HB_DeepHole_20190719_1044_PML_0.5_Limno.Sample.20160505",2019-07-19,"PON",109,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
