"sample","abs","conc","df","runID","SRP","projectID","lakeID","site","dateSample","timeSample","depthClass","depthTop","depthBottom","comments","sampleID","ID","flag"
"F189",0.034,NA,1,"SRP_run3_20201113.xlsx",5.94136518580805,35,"CYB","DeepHole","8/27/2020","10:15","PML",0,0.5,NA,"CYB_DeepHole_20200827_1015_PML_0.5_Limno.Sample.20160505",189,NA
"F19",0.014,NA,1,"SRP_run1_20201110.xlsx",2.23278608952263,15,"HB","DeepHole","6/10/2020","11:40","PML",0,0.5,NA,"HB_DeepHole_20200610_1140_PML_0.5_Limno.Sample.20160505",19,NA
"F190",0.019,NA,1,"SRP_run3_20201113.xlsx",3.53853453960568,35,"CYB","DeepHole","8/27/2020","10:15","Hypo",2,2,NA,"CYB_DeepHole_20200827_1015_Hypo_2_Limno.Sample.20160505",190,NA
"F191",0.017,NA,1,"SRP_run3_20201113.xlsx",3.21815712011204,35,"TB","DeepHole","8/27/2020","11:15","PML",0,0.5,NA,"TB_DeepHole_20200827_1115_PML_0.5_Limno.Sample.20160505",191,NA
"F192",0.024,NA,1,"SRP_run3_20201113.xlsx",4.33947808833981,35,"TB","DeepHole","8/27/2020","11:15","Hypo",3.5,3.5,NA,"TB_DeepHole_20200827_1115_Hypo_3.5_Limno.Sample.20160505",192,NA
"F193",0.021,NA,1,"SRP_run3_20201113.xlsx",3.85891195909933,41,"JO","DeepHole","9/1/2020","8:55","PML",0,3,NA,"JO_DeepHole_20200901_0855_PML_3_Limno.Sample.20160505",193,NA
"F194",0.071,NA,1,"SRP_run2_20201111.xlsx",11.8354215357487,41,"JO","DeepHole","9/1/2020","8:55","Hypo",4.5,4.5,NA,"JO_DeepHole_20200901_0855_Hypo_4.5_Limno.Sample.20160505",194,NA
"F2",0.025,NA,1,"SRP_run1_20201110.xlsx",3.99641584160261,3,"WL","DeepHole","6/4/2020","9:15","PML",0,1,NA,"WL_DeepHole_20200604_0915_PML_1_Limno.Sample.20160505",2,NA
"F20",0.072,NA,1,"SRP_run1_20201110.xlsx",11.531924782308,15,"HB","DeepHole","6/10/2020","11:40","Hypo",4,4,NA,"HB_DeepHole_20200610_1140_Hypo_4_Limno.Sample.20160505",20,NA
"F21",0.015,NA,1,"SRP_run1_20201110.xlsx",2.39311606698445,15,"HB","Outlet","6/10/2020","11:40","Surface",0,0,NA,"HB_Outlet_20200610_1140_Surface_0_Limno.Sample.20160505",21,NA
"F22",0.02,NA,1,"SRP_run1_20201110.xlsx",3.19476595429353,17,"ME","DeepHole","6/10/2020","9:36","PML",0,1,NA,"ME_DeepHole_20200610_0936_PML_1_Limno.Sample.20160505",22,NA
"F23",0.037,NA,1,"SRP_run1_20201110.xlsx",5.92037557114441,17,"ME","DeepHole","6/10/2020","9:36","Hypo",3.5,3.5,NA,"ME_DeepHole_20200610_0936_Hypo_3.5_Limno.Sample.20160505",23,NA
"F24",0.013,NA,1,"SRP_run1_20201110.xlsx",2.07245611206081,17,"ME","Outlet","6/10/2020","9:36","Surface",0,0,NA,"ME_Outlet_20200610_0936_Surface_0_Limno.Sample.20160505",24,NA
"F25",0.011,NA,1,"SRP_run1_20201110.xlsx",1.75179615713718,15,"CR","DeepHole","6/11/2020","9:30","PML",0,2.5,NA,"CR_DeepHole_20200611_0930_PML_2.5_Limno.Sample.20160505",25,NA
"F26",NA,NA,1,NA,NA,15,"CR","DeepHole","6/11/2020","9:30","Hypo",8,8,"failed QA/QC range check; reruns qualitatively similar; original value reported","CR_DeepHole_20200611_0930_Hypo_8_Limno.Sample.20160505",26,"1"
"F27",0.022,NA,1,"SRP_run1_20201110.xlsx",3.51542590921716,15,"CR","Outlet","6/11/2020","9:30","Surface",0,0,NA,"CR_Outlet_20200611_0930_Surface_0_Limno.Sample.20160505",27,NA
"F28",0.026,NA,1,"SRP_run1_20201110.xlsx",4.15674581906443,15,"MO","DeepHole","6/12/2020","9:25","PML",0,1.5,NA,"MO_DeepHole_20200612_0925_PML_1.5_Limno.Sample.20160505",28,NA
"F29",0.339,NA,1,"SRP_run1_20201110.xlsx",54.340028764613,15,"MO","DeepHole","6/12/2020","9:25","Hypo",4.5,4.5,NA,"MO_DeepHole_20200612_0925_Hypo_4.5_Limno.Sample.20160505",29,NA
"F3",0.112,NA,1,"SRP_run1_20201110.xlsx",17.9451238807806,3,"WL","DeepHole","6/4/2020","9:15","Hypo",8,8,NA,"WL_DeepHole_20200604_0915_Hypo_8_Limno.Sample.20160505",3,NA
"F30",0.021,NA,1,"SRP_run1_20201110.xlsx",3.35509593175534,15,"MO","Inlet1","6/12/2020","9:25","Surface",0,0,NA,"MO_Inlet1_20200612_0925_Surface_0_Limno.Sample.20160505",30,NA
"F31",0.063,NA,1,"SRP_run1_20201110.xlsx",10.0889549851516,15,"MO","Inlet2","6/12/2020","9:25","Surface",0,0,NA,"MO_Inlet2_20200612_0925_Surface_0_Limno.Sample.20160505",31,NA
