"projectID","sampleID","lakeID","siteName","dateSample","dateTimeSample","depthClass","depthTop","depthBottom","DOC","TN_DOC","replicate","metadataID","comments","flag","updateID"
15,"HB_DeepHole_20200805_0855_PML_1_Limno.Sample.20160505","HB","DeepHole",2020-08-05,2020-08-05 08:55:00,"PML",0,1,27.4108731094038,"NA",1,"NA",NA,"NA","NA"
15,"HB_DeepHole_20200805_0855_PML_1_Limno.Sample.20160505","HB","DeepHole",2020-08-05,2020-08-05 08:55:00,"PML",0,1,28.3363683130268,"NA",2,"NA",NA,"NA","NA"
15,"HB_DeepHole_20200805_0855_Hypo_4_Limno.Sample.20160505","HB","DeepHole",2020-08-05,2020-08-05 08:55:00,"Hypo",4,4,27.5245738664309,"NA",1,"NA",NA,"NA","NA"
15,"HB_DeepHole_20200805_0855_Hypo_4_Limno.Sample.20160505","HB","DeepHole",2020-08-05,2020-08-05 08:55:00,"Hypo",4,4,28.2989505311724,"NA",2,"NA",NA,"NA","NA"
15,"HB_PML_20200805_0855_Surface_0_Limno.Sample.20160505","HB","Outlet",2020-08-05,2020-08-05 08:55:00,"Surface",0,0,29.626034527608,"NA",1,"NA",NA,"NA","NA"
3,"FE_DeepHole_20200609_1148_PML_0.5_Limno.Sample.20160505","FE","DeepHole",2020-06-09,2020-06-09 11:48:00,"PML",0,0.5,12.9602640537458,"NA",2,"NA",NA,"NA","NA"
15,"HB_PML_20200805_0855_Surface_0_Limno.Sample.20160505","HB","Outlet",2020-08-05,2020-08-05 08:55:00,"Surface",0,0,28.7982642616382,"NA",2,"NA",NA,"NA","NA"
15,"CR_DeepHole_20200806_0922_PML_3.5_Limno.Sample.20160505","CR","DeepHole",2020-08-06,2020-08-06 09:22:00,"PML",0,3.5,5.32754545441027,"NA",2,"NA",NA,"NA","NA"
15,"CR_DeepHole_20200806_0922_Hypo_8_Limno.Sample.20160505","CR","DeepHole",2020-08-06,2020-08-06 09:22:00,"Hypo",8,8,5.36196924277965,"NA",1,"NA",NA,"NA","NA"
15,"CR_DeepHole_20200806_0922_Hypo_8_Limno.Sample.20160505","CR","DeepHole",2020-08-06,2020-08-06 09:22:00,"Hypo",8,8,5.03722520802689,"NA",2,"NA",NA,"NA","NA"
15,"CR_PML_20200806_0922_Surface_0_Limno.Sample.20160505","CR","Outlet",2020-08-06,2020-08-06 09:22:00,"Surface",0,0,5.03601562550532,"NA",1,"NA",NA,"NA","NA"
15,"CR_PML_20200806_0922_Surface_0_Limno.Sample.20160505","CR","Outlet",2020-08-06,2020-08-06 09:22:00,"Surface",0,0,5.53896108854413,"NA",2,"NA",NA,"NA","NA"
