"docID","projectID","lakeID","site","dateSample","timeSample","depthClass","depthTop","depthBottom","replicate","comments","sampleID","DOC_mgL","runID"
"D224",15,"CR","Outlet","7/23/2020","10:30","Surface",0,0,2,NA,"CR_Outlet_20200723_1030_Surface_0_Limno.Sample.20160505",4.90192359681919,"6"
"D225",17,"BA","DeepHole","7/27/2020","11:30","PML",0,2.5,1,NA,"BA_DeepHole_20200727_1130_PML_2.5_Limno.Sample.20160505",6.46068278382487,"6"
"D226",17,"BA","DeepHole","7/27/2020","11:30","PML",0,2.5,2,NA,"BA_DeepHole_20200727_1130_PML_2.5_Limno.Sample.20160505",6.37333421371282,"4"
"D227",17,"BA","DeepHole","7/27/2020","11:30","Hypo",7,7,1,NA,"BA_DeepHole_20200727_1130_Hypo_7_Limno.Sample.20160505",5.74635004562196,"6"
"D228",17,"BA","DeepHole","7/27/2020","11:30","Hypo",7,7,2,NA,"BA_DeepHole_20200727_1130_Hypo_7_Limno.Sample.20160505",5.99347882556891,"4"
"D229",17,"BR","DeepHole","7/27/2020","9:25","PML",0,2,1,NA,"BR_DeepHole_20200727_0925_PML_2_Limno.Sample.20160505",11.396921721916,"4"
"D23",35,"PR","DeepHole","6/7/2020","15:00","point",2.5,2.5,1,NA,"PR_DeepHole_20200607_1500_point_2.5_Limno.Sample.20160505",9.94872305461738,"4"
"D230",17,"BR","DeepHole","7/27/2020","9:25","PML",0,2,2,NA,"BR_DeepHole_20200727_0925_PML_2_Limno.Sample.20160505",9.53799037455989,"6"
"D231",17,"BR","DeepHole","7/27/2020","9:25","Hypo",4,4,1,NA,"BR_DeepHole_20200727_0925_Hypo_4_Limno.Sample.20160505",8.75506277076796,"6"
"D232",17,"BR","DeepHole","7/27/2020","9:25","Hypo",4,4,2,NA,"BR_DeepHole_20200727_0925_Hypo_4_Limno.Sample.20160505",9.4501628576785,"4"
"D233",3,"FE","DeepHole","7/28/2020","12:10","PML",0,1,1,NA,"FE_DeepHole_20200728_1210_PML_1_Limno.Sample.20160505",14.8186123548181,"6"
"D234",3,"FE","DeepHole","7/28/2020","12:10","PML",0,1,2,NA,"FE_DeepHole_20200728_1210_PML_1_Limno.Sample.20160505",15.5843882570518,"1"
"D235",3,"FE","DeepHole","7/28/2020","12:10","Hypo",8,8,1,NA,"FE_DeepHole_20200728_1210_Hypo_8_Limno.Sample.20160505",16.9627932395232,"6"
"D236",3,"FE","DeepHole","7/28/2020","12:10","Hypo",8,8,2,NA,"FE_DeepHole_20200728_1210_Hypo_8_Limno.Sample.20160505",18.6389265157649,"1"
"D237",3,"FE","Inlet1","7/28/2020","12:10","Surface",0,0,1,NA,"FE_Inlet1_20200728_1210_Surface_0_Limno.Sample.20160505",75.2401851771039,"3"
"D238",3,"FE","Inlet1","7/28/2020","12:10","Surface",0,0,2,NA,"FE_Inlet1_20200728_1210_Surface_0_Limno.Sample.20160505",78.1955626339972,"1"
"D239",3,"WL","DeepHole","7/28/2020","10:15","PML",0,1.5,1,NA,"WL_DeepHole_20200728_1015_PML_1.5_Limno.Sample.20160505",6.96582583659141,"1"
"D24",35,"PR","DeepHole","6/7/2020","15:00","point",2.5,2.5,2,NA,"PR_DeepHole_20200607_1500_point_2.5_Limno.Sample.20160505",9.34881075375504,"5"
"D240",3,"WL","DeepHole","7/28/2020","10:15","PML",0,1.5,2,NA,"WL_DeepHole_20200728_1015_PML_1.5_Limno.Sample.20160505",6.62034324683379,"6"
"D241",3,"WL","DeepHole","7/28/2020","10:15","Hypo",8,8,1,NA,"WL_DeepHole_20200728_1015_Hypo_8_Limno.Sample.20160505",6.41101063977764,"6"
"D242",3,"WL","DeepHole","7/28/2020","10:15","Hypo",8,8,2,NA,"WL_DeepHole_20200728_1015_Hypo_8_Limno.Sample.20160505",6.64521583990243,"2"
"D243",17,"PA","DeepHole","7/29/2020","10:15","PML",0,2.5,1,NA,"PA_DeepHole_20200729_1015_PML_2.5_Limno.Sample.20160505",4.19823488948355,"6"
"D244",17,"PA","DeepHole","7/29/2020","10:15","PML",0,2.5,2,NA,"PA_DeepHole_20200729_1015_PML_2.5_Limno.Sample.20160505",4.63843980524856,"1"
"D245",17,"PA","DeepHole","7/29/2020","10:15","Hypo",7,7,1,NA,"PA_DeepHole_20200729_1015_Hypo_7_Limno.Sample.20160505",4.71624439169029,"6"
"D246",17,"PA","DeepHole","7/29/2020","10:15","Hypo",7,7,2,NA,"PA_DeepHole_20200729_1015_Hypo_7_Limno.Sample.20160505",5.21596232796184,"4"
"D247",17,"PE","DeepHole","7/29/2020","8:45","PML",0,2,1,NA,"PE_DeepHole_20200729_0845_PML_2_Limno.Sample.20160505",5.70359932870343,"1"
