"projectID","lakeID","siteID","sampleID","dateSample","dateTimeSample","depthClass","depthTop","depthBottom","crew","weather","comments","metadataID","updateID"
"15","HB","HB_DeepHole","HB_DeepHole_20200610_1140_PML_0.5_Limno.Sample.20160505",2020-06-10,2020-06-10 11:40:00,"PML",0,0.5,"RN and CS","full clouds light rain","Deck PAR 161.89 PML in 2 sections because so short 0 and .5","Color.20110601","samplecolor.20210505"
"15","HB","HB_DeepHole","HB_DeepHole_20200624_1053_Hypo_4_Limno.Sample.20160505",2020-06-24,2020-06-24 10:53:00,"Hypo",4,4,"RN and CS","Mostly cloudy","Deck PAR 480.4 and staff underwater height estimated","Color.20110601","samplecolor.20210505"
"15","HB","HB_DeepHole","HB_DeepHole_20200624_1053_PML_0.5_Limno.Sample.20160505",2020-06-24,2020-06-24 10:53:00,"PML",0,0.5,"RN and CS","Mostly cloudy","Deck PAR 480.4 and staff underwater height estimated","Color.20110601","samplecolor.20210505"
"15","HB","HB_DeepHole","HB_DeepHole_20200708_0945_Hypo_3.5_Limno.Sample.20160505",2020-07-08,2020-07-08 09:45:00,"Hypo",3.5,3.5,"RN and CS","hazy hot","Deck PAR 802.6 no DO because sensor not calibrating","Color.20110601","samplecolor.20210505"
"15","HB","HB_DeepHole","HB_DeepHole_20200708_0945_PML_0.25_Limno.Sample.20160505",2020-07-08,2020-07-08 09:45:00,"PML",0,0.25,"RN and CS","hazy hot","Deck PAR 802.6 no DO because sensor not calibrating","Color.20110601","samplecolor.20210505"
"15","HB","HB_DeepHole","HB_DeepHole_20200805_0855_Hypo_4_Limno.Sample.20160505",2020-08-05,2020-08-05 08:55:00,"Hypo",4,4,"RN and CS","sunny","Deck PAR 1061.2 and bottom at 7.5m","Color.20110601","samplecolor.20210505"
"15","HB","HB_DeepHole","HB_DeepHole_20200805_0855_PML_1_Limno.Sample.20160505",2020-08-05,2020-08-05 08:55:00,"PML",0,1,"RN and CS","sunny","Deck PAR 1061.2 and bottom at 7.5m","Color.20110601","samplecolor.20210505"
"15","HB","HB_DeepHole","HB_DeepHole_20200818_0950_Hypo_4_Limno.Sample.20160505",2020-08-18,2020-08-18 09:50:00,"Hypo",4,4,"RN","sunny clear","Deck PAR 1537.3","Color.20110601","samplecolor.20210505"
"15","HB","HB_DeepHole","HB_DeepHole_20200818_0950_PML_0.5_Limno.Sample.20160505",2020-08-18,2020-08-18 09:50:00,"PML",0,0.5,"RN","sunny clear","Deck PAR 1537.3","Color.20110601","samplecolor.20210505"
"15","HB","HB_Outlet","HB_Outlet_20200610_1140_Surface_0_Limno.Sample.20160505",2020-06-10,2020-06-10 11:40:00,"Surface",0,0,"RN and CS","full clouds light rain","Deck PAR 161.89 PML in 2 sections because so short 0 and .5","Color.20110601","samplecolor.20210505"
