"projectID","sampleID","lakeID","siteName","dateSample","dateTimeSample","depthClass","depthTop","depthBottom","abs440","g440","metadataID","comments","flag","updateID"
"16","CB_DeepHole_20130717_1330_PML_0.5_Limno.Sample.20130416","CB","DeepHole",2013-07-17,2013-07-17 13:30:00,"PML",0,0.5,0.63,14.53,"Color.20110601",NA,0,"S_sampleIDReconstruct"
"16","CB_DeepHole_20130717_1330_meta_3.5_Limno.Sample.20130416","CB","DeepHole",2013-07-17,2013-07-17 13:30:00,"meta",3.5,3.5,0.5,11.53,"Color.20110601",NA,0,"S_sampleIDReconstruct"
"16","RS_DeepHole_20130718_1215_PML_0.5_Limno.Sample.20130416","RS","DeepHole",2013-07-18,2013-07-18 12:15:00,"PML",0,0.5,0.85,19.69,"Color.20110601",NA,0,"originalDB.20160217"
"16","RS_DeepHole_20130718_1215_meta_3.5_Limno.Sample.20130416","RS","DeepHole",2013-07-18,2013-07-18 12:15:00,"meta",3.5,3.5,0.65,15.13,"Color.20110601",NA,0,"S_sampleIDReconstruct"
"15","MO_DeepHole_20130719_0745_PML_0.5_Limno.Sample.20130416","MO","DeepHole",2013-07-19,2013-07-19 07:45:00,"PML",0,0.5,0.79,18.28,"Color.20110601",NA,0,"originalDB.20160217"
"15","MO_DeepHole_20130719_0745_hypo_4_Limno.Sample.20130416","MO","DeepHole",2013-07-19,2013-07-19 07:45:00,"hypo",4,4,0.8,18.47,"Color.20110601",NA,0,"S_sampleIDReconstruct"
"15","MO_Inlet1_20130719_0000_surface_0_Limno.Sample.20130416","MO","Inlet1",2013-07-19,2013-07-19 00:00:00,"surface",0,0,0.39,9.02,"Color.20110601",NA,0,"S_sampleIDReconstruct"
"15","MO_Inlet2_20130719_0000_surface_0_Limno.Sample.20130416","MO","Inlet2",2013-07-19,2013-07-19 00:00:00,"surface",0,0,1.25,28.83,"Color.20110601",NA,0,"S_sampleIDReconstruct"
"15","MO_Inlet3_20130719_0000_surface_0_Limno.Sample.20130416","MO","Inlet3",2013-07-19,2013-07-19 00:00:00,"surface",0,0,3.18,73.23,"Color.20110601",NA,0,"S_sampleIDReconstruct"
"15","MO_Outlet_20130719_0000_surface_0_Limno.Sample.20130416","MO","Outlet",2013-07-19,2013-07-19 00:00:00,"surface",0,0,0.61,14.09,"Color.20110601",NA,0,"S_sampleIDReconstruct"
"15","HB_DeepHole_20130719_1115_PML_0.5_Limno.Sample.20130416","HB","DeepHole",2013-07-19,2013-07-19 11:15:00,"PML",0,0.5,1.44,33.18,"Color.20110601",NA,0,"originalDB.20160217"
"15","HB_DeepHole_20130719_1115_hypo_4_Limno.Sample.20130416","HB","DeepHole",2013-07-19,2013-07-19 11:15:00,"hypo",4,4,0.55,12.78,"Color.20110601",NA,0,"S_sampleIDReconstruct"
"15","HB_Outlet_20130719_0000_surface_0_Limno.Sample.20130416","HB","Outlet",2013-07-19,2013-07-19 00:00:00,"surface",0,0,1.42,32.84,"Color.20110601",NA,0,"S_sampleIDReconstruct"
"16","RE_DeepHole_20130719_1300_PML_0.5_Limno.Sample.20130416","RE","DeepHole",2013-07-19,2013-07-19 13:00:00,"PML",0,0.5,0.61,14.2,"Color.20110601",NA,0,"S_sampleIDReconstruct"
