bpID,projectID,lakeID,site,dateSample,timeSample,depthClass,depthTop,depthBottom,volFiltered,replicate,comments,sampleID
BP158,15,MO,DeepHole,7/20/2020,9:00,PML,0,1,150,2,,MO_DeepHole_20200720_0900_PML_1_Limno.Sample.20160505
BP159,15,MO,DeepHole,7/20/2020,9:00,Hypo,4,4,150,1,,MO_DeepHole_20200720_0900_Hypo_4_Limno.Sample.20160505
BP160,15,MO,DeepHole,7/20/2020,9:00,Hypo,4,4,150,2,,MO_DeepHole_20200720_0900_Hypo_4_Limno.Sample.20160505
BP161,3,WL,DeepHole,7/21/2020,9:57,PML,0,2,200,1,,WL_DeepHole_20200721_0957_PML_2_Limno.Sample.20160505
BP162,3,WL,DeepHole,7/21/2020,9:57,PML,0,2,200,2,,WL_DeepHole_20200721_0957_PML_2_Limno.Sample.20160505
BP163,3,WL,DeepHole,7/21/2020,9:57,Hypo,8,8,150,1,,WL_DeepHole_20200721_0957_Hypo_8_Limno.Sample.20160505
BP164,3,WL,DeepHole,7/21/2020,9:57,Hypo,8,8,150,2,,WL_DeepHole_20200721_0957_Hypo_8_Limno.Sample.20160505
BP165,3,FE,DeepHole,7/22/2020,11:45,PML,0,2,250,1,,FE_DeepHole_20200722_1145_PML_2_Limno.Sample.20160505
BP166,3,FE,DeepHole,7/22/2020,11:45,PML,0,2,250,2,,FE_DeepHole_20200722_1145_PML_2_Limno.Sample.20160505
BP167,3,FE,DeepHole,7/22/2020,11:45,Hypo,8,8,250,1,,FE_DeepHole_20200722_1145_Hypo_8_Limno.Sample.20160505
BP168,3,FE,DeepHole,7/22/2020,11:45,Hypo,8,8,250,2,,FE_DeepHole_20200722_1145_Hypo_8_Limno.Sample.20160505
BP169,15,CR,DeepHole,7/23/2020,10:30,PML,0,3.5,250,1,,CR_DeepHole_20200723_1030_PML_3.5_Limno.Sample.20160505
BP170,15,CR,DeepHole,7/23/2020,10:30,PML,0,3.5,250,2,,CR_DeepHole_20200723_1030_PML_3.5_Limno.Sample.20160505
BP171,15,CR,DeepHole,7/23/2020,10:30,Hypo,8,8,250,1,,CR_DeepHole_20200723_1030_Hypo_8_Limno.Sample.20160505
BP172,15,CR,DeepHole,7/23/2020,10:30,Hypo,8,8,250,2,,CR_DeepHole_20200723_1030_Hypo_8_Limno.Sample.20160505
BP173,17,BA,DeepHole,7/27/2020,11:30,PML,0,2.5,250,1,,BA_DeepHole_20200727_1130_PML_2.5_Limno.Sample.20160505
BP174,17,BA,DeepHole,7/27/2020,11:30,PML,0,2.5,250,2,,BA_DeepHole_20200727_1130_PML_2.5_Limno.Sample.20160505
BP175,17,BA,DeepHole,7/27/2020,11:30,Hypo,7,7,200,1,,BA_DeepHole_20200727_1130_Hypo_7_Limno.Sample.20160505
BP176,17,BA,DeepHole,7/27/2020,11:30,Hypo,7,7,200,2,,BA_DeepHole_20200727_1130_Hypo_7_Limno.Sample.20160505
BP177,17,BR,DeepHole,7/27/2020,9:25,PML,0,2,250,1,,BR_DeepHole_20200727_0925_PML_2_Limno.Sample.20160505
BP178,17,BR,DeepHole,7/27/2020,9:25,PML,0,2,250,2,,BR_DeepHole_20200727_0925_PML_2_Limno.Sample.20160505
BP179,17,BR,DeepHole,7/27/2020,9:25,Hypo,4,4,250,1,,BR_DeepHole_20200727_0925_Hypo_4_Limno.Sample.20160505
