docID,projectID,lakeID,site,dateSample,timeSample,depthClass,depthTop,depthBottom,replicate,comments,sampleID
D146,17,BO,DeepHole,7/1/2020,10:41,PML,0,0.25,2,,BO_DeepHole_20200701_1041_PML_0.25_Limno.Sample.20160505
D147,17,BO,DeepHole,7/1/2020,10:41,Hypo,2,2,1,,BO_DeepHole_20200701_1041_Hypo_2_Limno.Sample.20160505
D148,17,BO,DeepHole,7/1/2020,10:41,Hypo,2,2,2,,BO_DeepHole_20200701_1041_Hypo_2_Limno.Sample.20160505
D149,17,CB,DeepHole,7/1/2020,9:09,PML,0,0.5,1,,CB_DeepHole_20200701_0909_PML_0.5_Limno.Sample.20160505
D150,17,CB,DeepHole,7/1/2020,9:09,PML,0,0.5,2,,CB_DeepHole_20200701_0909_PML_0.5_Limno.Sample.20160505
D151,17,CB,DeepHole,7/1/2020,9:09,Hypo,3,3,1,,CB_DeepHole_20200701_0909_Hypo_3_Limno.Sample.20160505
D152,17,CB,DeepHole,7/1/2020,9:09,Hypo,3,3,2,,CB_DeepHole_20200701_0909_Hypo_3_Limno.Sample.20160505
D153,17,NG,DeepHole,7/3/2020,9:20,PML,0,0.25,1,,NG_DeepHole_20200703_0920_PML_0.25_Limno.Sample.20160505
D154,17,NG,DeepHole,7/3/2020,9:20,PML,0,0.25,2,,NG_DeepHole_20200703_0920_PML_0.25_Limno.Sample.20160505
D155,17,NG,DeepHole,7/3/2020,9:20,Hypo,4,4,1,,NG_DeepHole_20200703_0920_Hypo_4_Limno.Sample.20160505
D156,17,NG,DeepHole,7/3/2020,9:20,Hypo,4,4,2,,NG_DeepHole_20200703_0920_Hypo_4_Limno.Sample.20160505
D157,15,MO,DeepHole,7/6/2020,9:01,PML,0,0.5,1,,MO_DeepHole_20200706_0901_PML_0.5_Limno.Sample.20160505
D158,15,MO,DeepHole,7/6/2020,9:01,PML,0,0.5,2,,MO_DeepHole_20200706_0901_PML_0.5_Limno.Sample.20160505
D159,15,MO,DeepHole,7/6/2020,9:01,Hypo,3.5,3.5,1,,MO_DeepHole_20200706_0901_Hypo_3.5_Limno.Sample.20160505
D160,15,MO,DeepHole,7/6/2020,9:01,Hypo,3.5,3.5,2,,MO_DeepHole_20200706_0901_Hypo_3.5_Limno.Sample.20160505
D161,15,MO,Inlet1,7/6/2020,9:01,Surface,0,0,1,,MO_PML_20200706_0901_Surface_0_Limno.Sample.20160505
D162,15,MO,Inlet1,7/6/2020,9:01,Surface,0,0,2,,MO_PML_20200706_0901_Surface_0_Limno.Sample.20160505
D163,15,MO,Inlet2,7/6/2020,9:01,Surface,0,0,1,,MO_PML_20200706_0901_Surface_0_Limno.Sample.20160505
D164,15,MO,Inlet2,7/6/2020,9:01,Surface,0,0,2,,MO_PML_20200706_0901_Surface_0_Limno.Sample.20160505
D165,3,FE,DeepHole,7/7/2020,11:30,PML,0,0.25,1,,FE_DeepHole_20200707_1130_PML_0.25_Limno.Sample.20160505
D166,3,FE,DeepHole,7/7/2020,11:30,PML,0,0.25,2,,FE_DeepHole_20200707_1130_PML_0.25_Limno.Sample.20160505
D167,3,FE,DeepHole,7/7/2020,11:30,Hypo,8,8,1,,FE_DeepHole_20200707_1130_Hypo_8_Limno.Sample.20160505
D168,3,FE,DeepHole,7/7/2020,11:30,Hypo,8,8,2,,FE_DeepHole_20200707_1130_Hypo_8_Limno.Sample.20160505
D169,3,WL,DeepHole,7/7/2020,10:00,PML,0,1,1,,WL_DeepHole_20200707_1000_PML_1_Limno.Sample.20160505
D170,3,WL,DeepHole,7/7/2020,10:00,PML,0,1,2,,WL_DeepHole_20200707_1000_PML_1_Limno.Sample.20160505
