unfilteredID,projectID,lakeID,site,dateSample,timeSample,depthClass,depthTop,depthBottom,comments,sampleID
U161,15,HB,DeepHole,8/18/2020,9:50,Hypo,4,4,,HB_DeepHole_20200818_0950_Hypo_4_Limno.Sample.20160505
U162,15,HB,Outlet,8/18/2020,9:50,Surface,0,0,,HB_Outlet_20200818_0950_Surface_0_Limno.Sample.20160505
U163,15,MO,DeepHole,8/19/2020,10:15,PML,0,1.5,,MO_DeepHole_20200819_1015_PML_1.5_Limno.Sample.20160505
U164,15,MO,DeepHole,8/19/2020,10:15,Hypo,4.5,4.5,,MO_DeepHole_20200819_1015_Hypo_4.5_Limno.Sample.20160505
U165,15,MO,Inlet1,8/19/2020,10:15,Surface,0,0,,MO_Inlet1_20200819_1015_Surface_0_Limno.Sample.20160505
U166,15,MO,Inlet2,8/19/2020,10:15,Surface,0,0,,MO_Inlet2_20200819_1015_Surface_0_Limno.Sample.20160505
U167,3,FE,DeepHole,8/20/2020,11:32,PML,0,1.5,,FE_DeepHole_20200820_1132_PML_1.5_Limno.Sample.20160505
U168,3,FE,DeepHole,8/20/2020,11:32,Hypo,8,8,,FE_DeepHole_20200820_1132_Hypo_8_Limno.Sample.20160505
U169,3,FE,Inlet1,8/20/2020,11:32,Surface,0,0,,FE_Inlet1_20200820_1132_Surface_0_Limno.Sample.20160505
U170,17,ME,DeepHole,8/20/2020,10:54,PML,0,2,,ME_DeepHole_20200820_1054_PML_2_Limno.Sample.20160505
U171,17,ME,DeepHole,8/20/2020,10:54,Hypo,3.5,3.5,,ME_DeepHole_20200820_1054_Hypo_3.5_Limno.Sample.20160505
U172,17,ME,Outlet,8/20/2020,10:54,Surface,0,0,,ME_Outlet_20200820_1054_Surface_0_Limno.Sample.20160505
U173,3,WL,DeepHole,8/20/2020,9:10,PML,0,2,,WL_DeepHole_20200820_0910_PML_2_Limno.Sample.20160505
U174,3,WL,DeepHole,8/20/2020,9:10,Hypo,8,8,,WL_DeepHole_20200820_0910_Hypo_8_Limno.Sample.20160505
U175,35,NH,DeepHole,8/24/2020,10:50,PML,0,2,,NH_DeepHole_20200824_1050_PML_2_Limno.Sample.20160505
U176,35,NH,DeepHole,8/24/2020,10:50,Hypo,3,3,,NH_DeepHole_20200824_1050_Hypo_3_Limno.Sample.20160505
U177,35,SE,DeepHole,8/24/2020,11:55,PML,0,5,,SE_DeepHole_20200824_1155_PML_5_Limno.Sample.20160505
U178,35,SE,DeepHole,8/24/2020,11:55,Hypo,5.5,5.5,,SE_DeepHole_20200824_1155_Hypo_5.5_Limno.Sample.20160505
