"lakeID","lakeName","state","county","city","surfaceArea","maxDepth","lat","long","latLongSource","WBIC","comments","updateID"
"RS","Red Bass","WI","Vilas","Presque Isle",10.92,6.7,46.19840206,-89.66388058,"Lake finder app","2954700","NA","lakesLatLongUpdate.20201005"
"RT","Redboat Lake","MI","Gogebic","Marenisco",9.7,NA,46.34492639,-89.77347588,"Lake finder app","NA","NA","lakesLatLongUpdate.20201005"
"SA","Spectacle Lake","WI","Vilas","Phelps",67.2,10.7,46.00521389,89.02085283,"Lake finder app","717400","NA","lakesLatLongUpdate.20201005"
"SC","Mabel","WI","Vilas","Presque Isle",7.3,6.7,46.19615217,-89.63083263,"Lake finder app","NA","NA","lakesLatLongUpdate.20201005"
"SE","Street Lake","WI","Vilas","Boulder Junction",18.6,6.7,46.09620539,-89.70341232,"Lake finder app","1884200","NA","lakesLatLongUpdate.20201005"
"SJO","St Joseph's","IN","St Joseph","Notre Dame",10.96,12.19,41.7062,-86.240091,"Google maps (approximate center)","NA","NA","lakesLatLongUpdate.20201005"
"SK","Sparkling","WI","Vilas","Arbor Vitae",63.5,18.3,46.00880508,-89.69953431,"Lake finder app","1881900","NA","lakesLatLongUpdate.20201005"
"SM","Stormy Lake","WI","Vilas","Conover",211.7,19.2,46.0555414,-89.32170532,"Lake finder app","1020300","NA","lakesLatLongUpdate.20201005"
"SMA","St Mary's","IN","St Joseph","Notre Dame",10.68,9.14,41.702672,-86.24494,"Google maps (approximate center)","NA","NA","lakesLatLongUpdate.20201005"
"SN","Simonton","IN","Elkhart","Elkhart",121,7.31,41.753226,-85.960199,"Google maps (approximate center)","NA","NA","lakesLatLongUpdate.20201005"
"SO","Stone","WI","Vilas","Manitowish Waters",55.8,13.1,46.1260127,-89.832469,"Google maps (approximate center)","2328800","NA","lakesLatLongUpdate.20201005"
"SP","Snipe","WI","Vilas","Eagle River",87,4.572,45.9395937,-89.3653972,"Lake finder app","1018500","NA","lakesLatLongUpdate.20201005"
"SPI","Spire","WI","Vilas","Boulder Junction",2.6,1.5,46.18246408,-89.61641755,"unknown","NA","NA","lakesLatLongUpdate.20201005"
"SQ","Squaw","WI","Vilas","Minocqua",298,6.4008,45.8844652,-89.9945844,"Google maps (approximate center)","2271600","NA","lakesLatLongUpdate.20201005"
"SR","South Turtle","WI","Vilas","Manitowish Waters",189,12.192,46.21132965,-89.89451966,"Lake finder app","2310200","NA","lakesLatLongUpdate.20201005"
"ST","Stone","MI","Cass","Cassopolis",59.89,17.06,41.90485979,-86.01700211,"Lake finder app","NA","NA","lakesLatLongUpdate.20201005"
"SU","Summit","MI","Gogebic","Presque Isle",48.1,15,46.25702359,-89.62579273,"Lake finder app","NA","NA","lakesLatLongUpdate.20201005"
"SV","Silver Lake","WI","Vilas","Eagle River",23.1,5.8,45.92154144,-89.2377478,"Lake finder app","1599800","NA","lakesLatLongUpdate.20201005"
"TB","Trout Bog","WI","Vilas","Arbor Vitae",1.1,7.5,46.041269,-89.68613,"Google maps (approximate center)","NA","NA","lakesLatLongUpdate.20201005"
"TD","Town Dock","WI","Vilas","Presque Isle",4,5,46.21060861,-89.72596091,"Google maps (approximate center)","NA","NA","lakesLatLongUpdate.20201005"
"TERR","Terrestrial","NA","NA","NA",NA,NA,NA,NA,"unknown","NA","NA","lakesLatLongUpdate.20201005"
"TF","Tenderfoot","WI","Vilas","UNDERC",194.24,9.14,46.2178662,-89.52920937,"Lake finder app","2962400","NA","lakesLatLongUpdate.20201005"
